2025-01-28 06:56:29 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2025-01-28 06:56:29 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2025-01-28 06:56:29 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2025-01-28 06:56:29 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2025-01-28 06:56:29 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2025-01-28 06:56:29 install logsave:amd64 <none> 1.47.0-2
2025-01-28 06:56:29 status half-installed logsave:amd64 1.47.0-2
2025-01-28 06:56:29 status unpacked logsave:amd64 1.47.0-2
2025-01-28 06:56:29 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-01-28 06:56:29 status half-configured mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:29 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:29 status half-installed mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:29 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:29 install mount:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:29 status half-installed mount:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:29 status unpacked mount:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:29 install ncurses-base:all <none> 6.4-4
2025-01-28 06:56:29 status half-installed ncurses-base:all 6.4-4
2025-01-28 06:56:29 status unpacked ncurses-base:all 6.4-4
2025-01-28 06:56:29 install ncurses-bin:amd64 <none> 6.4-4
2025-01-28 06:56:29 status half-installed ncurses-bin:amd64 6.4-4
2025-01-28 06:56:29 status unpacked ncurses-bin:amd64 6.4-4
2025-01-28 06:56:29 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2025-01-28 06:56:29 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2025-01-28 06:56:29 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2025-01-28 06:56:29 upgrade perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2025-01-28 06:56:29 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2025-01-28 06:56:29 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2025-01-28 06:56:29 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2025-01-28 06:56:30 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2025-01-28 06:56:30 install sed:amd64 <none> 4.9-1
2025-01-28 06:56:30 status half-installed sed:amd64 4.9-1
2025-01-28 06:56:30 status unpacked sed:amd64 4.9-1
2025-01-28 06:56:30 install sysvinit-utils:amd64 <none> 3.06-4
2025-01-28 06:56:30 status half-installed sysvinit-utils:amd64 3.06-4
2025-01-28 06:56:30 status unpacked sysvinit-utils:amd64 3.06-4
2025-01-28 06:56:30 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2025-01-28 06:56:30 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2025-01-28 06:56:30 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2025-01-28 06:56:30 install tzdata:all <none> 2024b-0+deb12u1
2025-01-28 06:56:30 status half-installed tzdata:all 2024b-0+deb12u1
2025-01-28 06:56:30 status unpacked tzdata:all 2024b-0+deb12u1
2025-01-28 06:56:30 install usr-is-merged:all <none> 37~deb12u1
2025-01-28 06:56:30 status half-installed usr-is-merged:all 37~deb12u1
2025-01-28 06:56:30 status unpacked usr-is-merged:all 37~deb12u1
2025-01-28 06:56:30 install util-linux:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:30 status half-installed util-linux:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:30 status unpacked util-linux:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:30 install util-linux-extra:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:30 status half-installed util-linux-extra:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:30 status unpacked util-linux-extra:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:31 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2025-01-28 06:56:31 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2025-01-28 06:56:31 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2025-01-28 06:56:31 startup packages configure
2025-01-28 06:56:31 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2025-01-28 06:56:31 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 06:56:31 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 06:56:31 status installed debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 06:56:31 configure usr-is-merged:all 37~deb12u1 <none>
2025-01-28 06:56:31 status unpacked usr-is-merged:all 37~deb12u1
2025-01-28 06:56:31 status half-configured usr-is-merged:all 37~deb12u1
2025-01-28 06:56:31 status installed usr-is-merged:all 37~deb12u1
2025-01-28 06:56:31 configure libaudit-common:all 1:3.0.9-1 <none>
2025-01-28 06:56:31 status unpacked libaudit-common:all 1:3.0.9-1
2025-01-28 06:56:31 status half-configured libaudit-common:all 1:3.0.9-1
2025-01-28 06:56:31 status installed libaudit-common:all 1:3.0.9-1
2025-01-28 06:56:31 configure libsemanage-common:all 3.4-1 <none>
2025-01-28 06:56:31 status unpacked libsemanage-common:all 3.4-1
2025-01-28 06:56:31 status half-configured libsemanage-common:all 3.4-1
2025-01-28 06:56:31 status installed libsemanage-common:all 3.4-1
2025-01-28 06:56:31 configure debconf:all 1.5.82 <none>
2025-01-28 06:56:31 status unpacked debconf:all 1.5.82
2025-01-28 06:56:31 status half-configured debconf:all 1.5.82
2025-01-28 06:56:31 status installed debconf:all 1.5.82
2025-01-28 06:56:31 configure gcc-12-base:amd64 12.2.0-14 <none>
2025-01-28 06:56:31 status unpacked gcc-12-base:amd64 12.2.0-14
2025-01-28 06:56:31 status half-configured gcc-12-base:amd64 12.2.0-14
2025-01-28 06:56:31 status installed gcc-12-base:amd64 12.2.0-14
2025-01-28 06:56:31 configure tzdata:all 2024b-0+deb12u1 <none>
2025-01-28 06:56:31 status unpacked tzdata:all 2024b-0+deb12u1
2025-01-28 06:56:31 status half-configured tzdata:all 2024b-0+deb12u1
2025-01-28 06:56:31 status installed tzdata:all 2024b-0+deb12u1
2025-01-28 06:56:31 configure ncurses-base:all 6.4-4 <none>
2025-01-28 06:56:31 status unpacked ncurses-base:all 6.4-4
2025-01-28 06:56:31 status half-configured ncurses-base:all 6.4-4
2025-01-28 06:56:31 status installed ncurses-base:all 6.4-4
2025-01-28 06:56:31 configure init-system-helpers:all 1.65.2 <none>
2025-01-28 06:56:31 status unpacked init-system-helpers:all 1.65.2
2025-01-28 06:56:31 status half-configured init-system-helpers:all 1.65.2
2025-01-28 06:56:31 status installed init-system-helpers:all 1.65.2
2025-01-28 06:56:31 configure libgcc-s1:amd64 12.2.0-14 <none>
2025-01-28 06:56:31 status unpacked libgcc-s1:amd64 12.2.0-14
2025-01-28 06:56:31 status half-configured libgcc-s1:amd64 12.2.0-14
2025-01-28 06:56:31 status installed libgcc-s1:amd64 12.2.0-14
2025-01-28 06:56:31 configure libc6:amd64 2.36-9+deb12u9 <none>
2025-01-28 06:56:31 status unpacked libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:31 status half-configured libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:31 status installed libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:31 configure libudev1:amd64 252.33-1~deb12u1 <none>
2025-01-28 06:56:31 status unpacked libudev1:amd64 252.33-1~deb12u1
2025-01-28 06:56:31 status half-configured libudev1:amd64 252.33-1~deb12u1
2025-01-28 06:56:31 status installed libudev1:amd64 252.33-1~deb12u1
2025-01-28 06:56:31 configure libffi8:amd64 3.4.4-1 <none>
2025-01-28 06:56:31 status unpacked libffi8:amd64 3.4.4-1
2025-01-28 06:56:31 status half-configured libffi8:amd64 3.4.4-1
2025-01-28 06:56:31 status installed libffi8:amd64 3.4.4-1
2025-01-28 06:56:31 configure libmd0:amd64 1.0.4-2 <none>
2025-01-28 06:56:31 status unpacked libmd0:amd64 1.0.4-2
